                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.47,                  2.149,                 1.6564,                0.58574,                0.54151,                0.58239,                0.33477,                   1.47,                 1.7091,                 1.7079,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.3833,                 1.6773,                 1.5899,                0.64112,                  0.541,                 0.5775,                0.31092,                 1.6633,                  1.713,                 1.8659,              0.0066309,              0.0066309,              0.0066309
                      3,                 1.5091,                 1.8489,                 1.6914,                0.38651,                 0.5068,                 0.4607,                 0.2367,                 1.6923,                 2.0693,                 1.9144,              0.0098976,              0.0098976,              0.0098976
                      4,                 1.6017,                 2.0077,                 1.7675,                0.52496,                0.46753,                0.48662,                0.23406,                 1.7265,                 1.9959,                 1.9899,                0.00985,                0.00985,                0.00985
                      5,                 1.5441,                 1.8889,                 1.7192,                 0.6242,                0.48487,                0.54153,                0.28995,                 1.6772,                 1.8504,                 1.8828,                 0.0098,                 0.0098,                 0.0098
                      6,                 1.4939,                 1.7664,                  1.682,                0.67473,                0.54956,                0.59655,                0.32443,                 1.5871,                 1.6722,                 1.8341,                0.00975,                0.00975,                0.00975
                      7,                 1.4514,                 1.6844,                 1.6488,                0.71997,                0.59798,                0.64485,                0.36631,                 1.5449,                  1.552,                 1.8024,                 0.0097,                 0.0097,                 0.0097
                      8,                 1.4093,                 1.6014,                 1.6204,                0.70582,                0.59649,                 0.6491,                0.36555,                 1.5452,                 1.5147,                 1.7603,                0.00965,                0.00965,                0.00965
                      9,                 1.3726,                 1.5465,                 1.5949,                0.72441,                0.61688,                0.66563,                0.37962,                 1.4558,                 1.4655,                 1.6902,                 0.0096,                 0.0096,                 0.0096
                     10,                 1.3571,                 1.4849,                 1.5759,                 0.7377,                 0.5976,                0.67479,                0.40204,                 1.4587,                 1.4467,                 1.7058,                0.00955,                0.00955,                0.00955
                     11,                 1.3292,                 1.4307,                  1.549,                0.73513,                 0.6357,                0.69175,                0.41498,                 1.4003,                 1.4052,                 1.6198,                 0.0095,                 0.0095,                 0.0095
                     12,                 1.3122,                 1.4009,                 1.5377,                0.72086,                0.68305,                0.72656,                0.42878,                 1.4012,                 1.3178,                 1.6346,                0.00945,                0.00945,                0.00945
                     13,                 1.2944,                 1.3672,                 1.5155,                0.77193,                0.66787,                0.73428,                0.44897,                 1.3248,                  1.263,                 1.5576,                 0.0094,                 0.0094,                 0.0094
                     14,                 1.2738,                 1.3326,                 1.5028,                0.75579,                0.72145,                0.76979,                0.46006,                 1.3526,                 1.1765,                 1.5665,                0.00935,                0.00935,                0.00935
                     15,                 1.2656,                 1.2945,                 1.4933,                0.81612,                0.69507,                0.76801,                0.47378,                 1.3497,                 1.1653,                  1.577,                 0.0093,                 0.0093,                 0.0093
                     16,                 1.2518,                 1.2775,                 1.4834,                 0.7642,                0.67378,                0.73101,                0.45728,                 1.3273,                  1.183,                 1.5555,                0.00925,                0.00925,                0.00925
                     17,                 1.2291,                 1.2464,                 1.4597,                 0.7844,                0.72052,                0.75727,                0.48266,                 1.3038,                 1.1695,                 1.5214,                 0.0092,                 0.0092,                 0.0092
                     18,                 1.2062,                 1.2127,                 1.4434,                0.77493,                0.73367,                0.78115,                0.50208,                 1.2784,                 1.0933,                 1.4853,                0.00915,                0.00915,                0.00915
                     19,                 1.2046,                 1.1904,                 1.4387,                0.80212,                0.73802,                0.78408,                0.49808,                 1.2865,                 1.1005,                 1.4985,                 0.0091,                 0.0091,                 0.0091
                     20,                 1.1948,                 1.1781,                  1.434,                0.76835,                0.74068,                0.78204,                 0.5065,                  1.239,                 1.0705,                 1.4622,                0.00905,                0.00905,                0.00905
                     21,                  1.184,                  1.145,                 1.4253,                0.77825,                 0.7488,                0.77827,                0.51054,                 1.2438,                  1.037,                 1.4581,                  0.009,                  0.009,                  0.009
                     22,                 1.1729,                 1.1301,                 1.4075,                0.78446,                0.76077,                0.79318,                0.52205,                 1.2068,                0.97511,                  1.425,                0.00895,                0.00895,                0.00895
                     23,                 1.1684,                 1.1153,                 1.4072,                0.82493,                0.71829,                0.80088,                0.53724,                 1.1863,                0.98284,                 1.4179,                 0.0089,                 0.0089,                 0.0089
                     24,                 1.1481,                 1.0815,                 1.3947,                 0.7797,                0.77294,                0.80248,                0.53705,                 1.1661,                0.97487,                 1.3983,                0.00885,                0.00885,                0.00885
                     25,                 1.1392,                 1.0768,                 1.3881,                0.79638,                0.78421,                0.81684,                0.54587,                 1.1828,                0.95834,                 1.4117,                 0.0088,                 0.0088,                 0.0088
                     26,                 1.1359,                  1.066,                 1.3801,                0.80871,                0.78428,                0.81896,                0.54117,                  1.191,                0.92994,                 1.4044,                0.00875,                0.00875,                0.00875
                     27,                 1.1267,                 1.0431,                 1.3689,                0.81552,                0.80719,                0.83595,                0.55328,                 1.1806,                  0.922,                 1.4084,                 0.0087,                 0.0087,                 0.0087
                     28,                  1.118,                  1.032,                 1.3681,                0.78546,                 0.7993,                0.82946,                0.55715,                 1.1576,                0.91936,                 1.3952,                0.00865,                0.00865,                0.00865
                     29,                  1.104,                 1.0165,                  1.356,                0.85434,                0.77885,                0.82985,                0.55746,                 1.1652,                0.92085,                 1.3859,                 0.0086,                 0.0086,                 0.0086
                     30,                 1.0927,                 1.0116,                 1.3498,                0.81685,                0.80893,                0.83649,                0.56059,                 1.1549,                0.91394,                 1.3896,                0.00855,                0.00855,                0.00855
                     31,                 1.0873,                0.99029,                 1.3432,                0.82257,                0.79405,                0.83793,                0.56996,                  1.136,                0.87688,                 1.3648,                 0.0085,                 0.0085,                 0.0085
                     32,                  1.078,                0.97272,                 1.3361,                0.80374,                0.80822,                0.83803,                0.56602,                 1.1305,                0.87823,                 1.3668,                0.00845,                0.00845,                0.00845
                     33,                 1.0764,                0.96641,                 1.3333,                0.83872,                0.80033,                0.84545,                0.57418,                 1.1156,                0.85643,                 1.3517,                 0.0084,                 0.0084,                 0.0084
                     34,                 1.0684,                0.95662,                 1.3288,                0.86517,                 0.7791,                0.85925,                0.58631,                 1.1312,                0.83038,                  1.364,                0.00835,                0.00835,                0.00835
                     35,                 1.0586,                0.94809,                 1.3214,                0.81662,                0.80752,                0.84626,                0.58021,                 1.1026,                 0.8164,                 1.3247,                 0.0083,                 0.0083,                 0.0083
                     36,                 1.0636,                0.95049,                 1.3236,                0.80661,                0.83328,                0.85115,                0.59229,                 1.0888,                0.82585,                 1.3112,                0.00825,                0.00825,                0.00825
                     37,                 1.0481,                0.93156,                 1.3134,                0.84363,                0.79718,                0.85851,                0.60035,                 1.0578,                0.80913,                 1.3019,                 0.0082,                 0.0082,                 0.0082
                     38,                 1.0435,                0.92291,                  1.315,                0.87217,                0.78033,                0.86131,                0.60267,                 1.0785,                 0.8104,                  1.314,                0.00815,                0.00815,                0.00815
                     39,                 1.0348,                0.90565,                 1.3014,                0.85043,                0.82095,                0.85694,                0.60108,                 1.0731,                0.78139,                 1.3079,                 0.0081,                 0.0081,                 0.0081
                     40,                 1.0338,                0.89399,                  1.296,                0.87389,                0.80557,                0.86954,                0.59917,                 1.0839,                0.78228,                 1.3092,                0.00805,                0.00805,                0.00805
                     41,                 1.0213,                0.89306,                 1.2956,                0.83888,                0.81859,                0.85575,                0.59006,                 1.0801,                0.78851,                 1.3212,                  0.008,                  0.008,                  0.008
