                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.0214,                0.87859,                 1.2896,                  0.846,                0.82702,                0.86568,                0.60159,                 1.0699,                0.78935,                 1.3093,                0.00795,                0.00795,                0.00795
                     43,                 1.0153,                0.86843,                 1.2829,                 0.8284,                0.81421,                0.86041,                0.61436,                 1.0509,                0.76356,                  1.289,                 0.0079,                 0.0079,                 0.0079
                     44,                 1.0082,                0.85857,                 1.2778,                0.84087,                0.83267,                0.87025,                0.60462,                 1.0344,                0.75435,                 1.2755,                0.00785,                0.00785,                0.00785
                     45,                 1.0013,                0.85843,                  1.274,                0.87386,                0.79344,                0.86077,                0.59735,                  1.044,                 0.7676,                 1.2832,                 0.0078,                 0.0078,                 0.0078
                     46,                0.99865,                0.84869,                 1.2708,                 0.8766,                0.80617,                0.86709,                 0.6017,                 1.0484,                0.76141,                 1.2885,                0.00775,                0.00775,                0.00775
                     47,                0.99368,                0.84042,                 1.2729,                 0.8693,                0.83167,                0.87705,                0.61316,                 1.0371,                0.75742,                 1.2868,                 0.0077,                 0.0077,                 0.0077
                     48,                 0.9886,                0.83269,                 1.2618,                0.86661,                0.81848,                0.87364,                 0.6141,                 1.0409,                0.76487,                 1.2838,                0.00765,                0.00765,                0.00765
                     49,                0.97651,                0.82275,                 1.2565,                0.85838,                0.81387,                0.88343,                 0.6212,                 1.0476,                0.75787,                 1.2927,                 0.0076,                 0.0076,                 0.0076
                     50,                0.97337,                0.81405,                 1.2537,                0.87528,                0.82437,                0.88035,                0.62202,                 1.0336,                0.74346,                 1.2807,                0.00755,                0.00755,                0.00755
                     51,                0.96845,                0.81056,                  1.257,                0.86372,                0.85673,                 0.8801,                0.62724,                 1.0218,                0.74112,                  1.269,                 0.0075,                 0.0075,                 0.0075
                     52,                0.96085,                0.80466,                 1.2444,                0.85194,                0.85684,                0.87889,                0.61962,                 1.0299,                0.72838,                 1.2801,                0.00745,                0.00745,                0.00745
                     53,                0.96534,                0.79795,                 1.2481,                0.84201,                0.85237,                0.87694,                0.62313,                 1.0398,                 0.7098,                  1.285,                 0.0074,                 0.0074,                 0.0074
                     54,                0.96048,                0.79036,                 1.2429,                0.87687,                0.82665,                0.87475,                0.61855,                 1.0414,                0.71088,                 1.2894,                0.00735,                0.00735,                0.00735
                     55,                0.95954,                0.79457,                 1.2467,                0.86167,                0.84199,                0.88488,                0.61657,                 1.0356,                0.71054,                 1.2893,                 0.0073,                 0.0073,                 0.0073
                     56,                 0.9447,                0.77413,                 1.2322,                0.83233,                 0.8633,                 0.8869,                0.62527,                 1.0345,                0.70432,                 1.2823,                0.00725,                0.00725,                0.00725
                     57,                0.94457,                0.77293,                 1.2307,                0.83029,                0.86214,                0.88349,                0.63042,                 1.0342,                0.71601,                 1.2803,                 0.0072,                 0.0072,                 0.0072
                     58,                 0.9417,                0.78115,                 1.2304,                0.84497,                0.84812,                0.88515,                0.63085,                 1.0249,                0.71021,                 1.2728,                0.00715,                0.00715,                0.00715
                     59,                0.93662,                0.76446,                 1.2284,                 0.8407,                0.85958,                0.88466,                0.63084,                 1.0184,                0.71034,                  1.269,                 0.0071,                 0.0071,                 0.0071
                     60,                0.93804,                0.76845,                 1.2247,                 0.8378,                0.86504,                0.88597,                0.63276,                 1.0152,                0.70751,                 1.2647,                0.00705,                0.00705,                0.00705
                     61,                0.92709,                0.75823,                 1.2185,                0.83428,                0.87647,                0.87938,                0.63014,                 1.0142,                0.71401,                 1.2602,                  0.007,                  0.007,                  0.007
                     62,                0.92059,                0.75169,                 1.2154,                0.82228,                0.88543,                0.88613,                0.63403,                 1.0125,                0.70965,                 1.2613,                0.00695,                0.00695,                0.00695
                     63,                0.91651,                0.74138,                 1.2112,                0.86319,                0.83574,                0.88848,                0.63522,                 1.0094,                0.70819,                 1.2562,                 0.0069,                 0.0069,                 0.0069
                     64,                0.91048,                0.74411,                 1.2106,                0.85235,                0.84248,                 0.8917,                0.63495,                 1.0099,                0.70499,                 1.2552,                0.00685,                0.00685,                0.00685
                     65,                 0.9126,                0.73488,                 1.2069,                0.88403,                0.83036,                0.89429,                0.64135,                 1.0056,                0.69641,                 1.2515,                 0.0068,                 0.0068,                 0.0068
                     66,                0.91026,                0.73673,                 1.2087,                 0.8498,                0.86334,                0.89774,                0.64591,                0.99623,                0.68434,                 1.2439,                0.00675,                0.00675,                0.00675
                     67,                0.90512,                0.72885,                 1.2063,                0.89298,                0.81992,                0.89251,                0.64158,                 0.9922,                0.68062,                 1.2449,                 0.0067,                 0.0067,                 0.0067
                     68,                0.90096,                0.72314,                    1.2,                0.89876,                0.82731,                 0.8919,                0.64352,                0.98973,                0.67897,                 1.2458,                0.00665,                0.00665,                0.00665
                     69,                0.89932,                0.71504,                 1.1978,                0.87826,                0.83343,                0.88933,                0.64502,                0.98203,                0.67547,                 1.2405,                 0.0066,                 0.0066,                 0.0066
                     70,                 0.8878,                0.71024,                 1.1922,                0.86965,                0.84904,                0.89199,                0.64451,                0.98269,                 0.6719,                 1.2427,                0.00655,                0.00655,                0.00655
                     71,                0.89105,                0.71627,                 1.1946,                0.86934,                0.84843,                0.89224,                0.64736,                0.97993,                0.66543,                  1.242,                 0.0065,                 0.0065,                 0.0065
                     72,                 0.8846,                0.70486,                 1.1866,                0.85949,                0.85981,                0.89374,                0.64597,                 0.9797,                0.66395,                 1.2406,                0.00645,                0.00645,                0.00645
                     73,                0.88897,                0.70943,                 1.1939,                0.85299,                0.87026,                0.89398,                0.64632,                0.98016,                 0.6654,                 1.2408,                 0.0064,                 0.0064,                 0.0064
                     74,                0.88291,                 0.6953,                 1.1835,                0.87879,                0.83702,                0.88923,                0.64552,                0.97774,                0.66233,                   1.24,                0.00635,                0.00635,                0.00635
                     75,                0.87221,                0.68632,                 1.1823,                0.85008,                0.85955,                0.88596,                0.64519,                 0.9776,                0.66197,                 1.2394,                 0.0063,                 0.0063,                 0.0063
                     76,                0.87645,                0.68973,                 1.1832,                0.85152,                0.86391,                0.88734,                0.64681,                0.97744,                0.66062,                 1.2391,                0.00625,                0.00625,                0.00625
                     77,                0.86721,                0.68326,                 1.1786,                0.87856,                0.83778,                0.88725,                0.64708,                  0.977,                0.65703,                 1.2395,                 0.0062,                 0.0062,                 0.0062
                     78,                 0.8576,                0.67453,                 1.1742,                0.84094,                0.86979,                0.89305,                0.64933,                0.97834,                0.65416,                 1.2416,                0.00615,                0.00615,                0.00615
                     79,                0.86636,                0.67627,                 1.1749,                0.83754,                0.88121,                0.89225,                0.64861,                0.97989,                0.65383,                 1.2428,                 0.0061,                 0.0061,                 0.0061
                     80,                0.85575,                0.67539,                 1.1729,                0.84161,                0.87846,                0.89195,                 0.6478,                0.97977,                0.65195,                  1.244,                0.00605,                0.00605,                0.00605
                     81,                 0.8533,                0.67724,                  1.168,                0.84038,                0.87755,                0.89057,                0.64908,                0.98044,                0.64894,                 1.2443,                  0.006,                  0.006,                  0.006
                     82,                0.85945,                  0.666,                 1.1704,                0.84825,                0.87183,                0.89109,                0.64999,                0.97788,                0.64749,                 1.2419,                0.00595,                0.00595,                0.00595
                     83,                0.84683,                0.66118,                 1.1681,                0.84299,                0.87471,                 0.8911,                0.64717,                0.97732,                0.64601,                 1.2415,                 0.0059,                 0.0059,                 0.0059
                     84,                0.84446,                 0.6558,                 1.1624,                0.86943,                0.85355,                0.89159,                0.64768,                0.97488,                0.64356,                 1.2401,                0.00585,                0.00585,                0.00585
                     85,                 0.8448,                0.65307,                 1.1637,                0.84597,                0.86964,                0.89238,                0.64755,                0.97208,                0.64239,                 1.2372,                 0.0058,                 0.0058,                 0.0058
                     86,                0.83544,                0.65138,                 1.1588,                0.86386,                0.86241,                0.89236,                0.64795,                0.97144,                0.64098,                 1.2367,                0.00575,                0.00575,                0.00575
                     87,                0.83925,                0.65339,                 1.1584,                0.86373,                0.86611,                0.88981,                 0.6472,                0.97077,                0.63992,                  1.237,                 0.0057,                 0.0057,                 0.0057
                     88,                 0.8316,                0.64674,                 1.1569,                0.86215,                0.86264,                0.88929,                0.64804,                0.96952,                0.63942,                 1.2364,                0.00565,                0.00565,                0.00565
                     89,                0.83151,                0.63495,                 1.1514,                 0.8553,                 0.8631,                0.88875,                0.64858,                0.96879,                0.63803,                 1.2364,                 0.0056,                 0.0056,                 0.0056
                     90,                0.82623,                0.63294,                  1.147,                0.85592,                0.86313,                0.88806,                0.64948,                0.96933,                0.63669,                 1.2374,                0.00555,                0.00555,                0.00555
                     91,                0.75324,                0.49631,                  1.131,                0.86513,                0.86034,                0.88868,                0.65132,                0.96987,                 0.6351,                 1.2383,                 0.0055,                 0.0055,                 0.0055
                     92,                0.74339,                0.47897,                 1.1255,                0.86182,                0.86153,                0.88807,                0.65035,                0.96907,                0.63396,                 1.2382,                0.00545,                0.00545,                0.00545
                     93,                0.72885,                0.47107,                 1.1149,                0.87778,                0.85732,                0.88855,                0.64922,                 0.9682,                0.63239,                 1.2379,                 0.0054,                 0.0054,                 0.0054
                     94,                0.72092,                0.46479,                  1.108,                0.87805,                0.85885,                0.88846,                0.64911,                0.96646,                0.63238,                 1.2365,                0.00535,                0.00535,                0.00535
                     95,                0.71497,                0.46003,                 1.1025,                0.87629,                 0.8605,                0.88806,                0.64947,                0.96564,                0.63203,                 1.2364,                 0.0053,                 0.0053,                 0.0053
                     96,                0.70829,                0.45177,                 1.1019,                0.87321,                0.86176,                0.88762,                0.64948,                 0.9634,                0.63068,                 1.2347,                0.00525,                0.00525,                0.00525
                     97,                0.69657,                0.44582,                 1.0918,                0.87404,                0.86189,                0.89014,                0.65267,                0.96188,                 0.6286,                 1.2339,                 0.0052,                 0.0052,                 0.0052
                     98,                0.68541,                0.43353,                 1.0821,                0.87471,                0.86153,                 0.8913,                0.65343,                0.96082,                0.62711,                 1.2332,                0.00515,                0.00515,                0.00515
                     99,                 0.6908,                0.43509,                 1.0841,                0.87659,                0.86068,                0.89132,                0.65416,                 0.9592,                 0.6261,                 1.2323,                 0.0051,                 0.0051,                 0.0051
                    100,                0.67925,                0.43049,                 1.0771,                0.87736,                0.86067,                0.89105,                0.65511,                0.95712,                0.62502,                 1.2315,                0.00505,                0.00505,                0.00505
